Year,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Product_Lines,Average_Price_USD
2015,85.13,1308839.48,60047.04,5,328.81
2023,358.73,1568552.21,78799.16,5,240.02
2014,330.49,4791168.72,77917.88,7,161.91
2016,277.11,3023687.5,10916.38,3,375.71
2016,405.52,3579678.54,15449.83,20,112.55
2018,382.3,1553542.53,74068.73,16,171.4
2011,196.11,1179748.29,9951.26,4,349.78
2016,362.28,3781927.91,23475.38,8,184.34
2010,298.73,707667.93,26757.84,13,126.35
2014,485.17,2925687.69,88249.75,4,342.94
2016,95.45,3870768.06,99947.85,5,462.33
2019,223.07,3578307.37,29470.55,20,32.14
2016,435.51,4047638.56,57962.97,12,260.9
2011,82.19,4633730.95,14336.8,3,229.93
2021,96.41,4512623.82,42235.58,5,359.83
2023,216.02,1543089.82,19571.31,7,255.39
2016,394.93,4745992.88,57321.33,1,315.46
2019,310.85,1937777.02,65275.9,17,335.07
2015,319.86,4800297.13,55844.6,19,198.67
2020,240.91,4088887.9,53391.1,19,456.74
2016,362.79,3334659.34,62705.11,20,334.62
2024,29.52,3250586.27,22674.73,19,159.92
2021,201.7,2094645.66,29889.58,18,129.71
2013,281.48,1804342.53,71185.96,6,253.37
2022,199.84,4938253.1,69344.01,11,468.5
2013,293.34,581016.27,52652.46,9,477.8
2010,191.21,4960865.73,66961.99,10,457.12
2013,152.05,4643856.27,48076.6,5,452.7
2018,361.23,2628393.55,32748.33,16,388.01
2010,437.4,503747.17,25288.8,15,380.94
2013,325.5,1387687.62,75045.41,4,34.68
2024,208.37,2655066.47,19917.43,15,449.04
2010,46.84,649573.57,18045.99,6,417.06
2020,353.05,4303516.49,55342.81,14,339.83
2021,476.8,3929313.91,32521.6,2,361.23
2020,112.55,4600761.17,24615.69,8,42.43
2015,144.06,4538918.24,4840.94,8,190.68
2014,447.21,156758.31,36456.09,1,282.23
2011,185.93,804036.64,96722.35,2,437.9
2018,30.12,4244253.49,18190.79,16,318.78
2019,474.13,2432176.41,10489.99,20,190.71
2015,109.99,4151160.26,29459.25,16,241.64
2019,251.43,2029889.8,97889.18,14,148.84
2023,292.56,2826311.89,25654.3,15,42.36
2015,118.83,4878128.27,87598.62,19,267.68
2011,31.29,810814.87,1966.9,19,238.86
2019,102.95,914045.75,56102.71,4,149.36
